Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;Описание
Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;Применение HTML
Категория;URL товара;Фото основные;Фото дополнительные;;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;
Категория;URL товара;Фото основные;Фото дополнительные;;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;
Категория;URL товара;Фото основные;Фото дополнительные;;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.16000800803;Натуральный каучук;Черный;Сталь;8;M3;8;6;40;4-8;60°;1319;106,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.1600100100410;Натуральный каучук;Черный;Сталь;10;M4;10;10;35;4-10;60°;1057;90,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.16001500604;Натуральный каучук;Черный;Сталь;15;M4;6;10;-;8;60°;1609;87,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.1600150080410;Натуральный каучук;Черный;Сталь;15;M4;8;10;187;18-19;60°;656;171,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.16001501004;Натуральный каучук;Черный;Сталь;15;M4;10;12;100;10-18;60°;2199;101,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/opory_dlya_profiley/a00808_nakladki_krepezhnye_tortsevye_iz_alyuminiya_dlya_profiley/"">A00808 Торцевых крепежных накладок из алюминия для профилей.</a></li>
</ul>";A00008.1600150150410;Натуральный каучук;Черный;Сталь;15;M4;15;10;50;10-18;60°;1790;71,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1.png"" style=""width: 1331px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_1.png"" style=""width: 1904px;""></p><p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a00008_виброопоры_цилиндрические_с_наружной_резьбой_тип_ec_d_table_1_part_2.png"" style=""width: 1904px;""></p><h2><span style=""font-size: 13pt;"">Материалы и исполнение (на выбор):</span></h2>
<ul>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из натурального каучука черного цвета.</li>
	<li>С оцинкованными металлическими частями из стали DIN EN 10111-98 и эластомером из изопрена серого цвета.</li>
	<li>С металлическими частями из нержавеющей стали и эластомером из натурального каучука черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные изделия применяются в качестве гасителей толчков для ограничения амортизационного хода движущейся массы.</li>
	<li>Виброопоры хорошо подходят для устройств, не закрепленных на фундаменте и установленных на чувствительных напольных покрытиях (например, для оргтехники), для генераторов и столов, а также, для машинного оборудования, например, для компрессоров или холодильного оборудования, для дробильного оборудования.</li>
	<li>На поверхности эластомера допускается появление пленки белого (для черных) и желтого (для серых виброопор). Она служит для защиты эластомера от высыхания, трещин и ультрафиолета.</li>
	<li>Температура эксплуатации: от -30 °C до +80 °C.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Виброопоры подходят для:</span></h2>
<ul>
	<li>A00808 Торцевых крепежных накладок из алюминия для профилей.</li>
</ul>";
